Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes,Team
8,2024-09-22,Matchweek 5,Home,Danny Welbeck,Nott'ham Forest,Y,0.06,0.27,Right Foot,27,45,1-1,Matz Sels,,Kaoru Mitoma,Fouled,Jack Hinshelwood,Pass (Live),,Brighton
9,2024-09-28,Matchweek 6,Away,Georginio Rutter,Chelsea,Y,0.09,0.23,Head,15,7,0-0,Robert Sánchez,Carlos Baleba,,,,,,Brighton
10,2024-09-28,Matchweek 6,Away,Carlos Baleba,Chelsea,Y,0.27,0.62,Right Foot,12,34,1-3,Robert Sánchez,,Carlos Baleba,Interception,,,,Brighton
11,2024-10-06,Matchweek 7,Home,Yankuba Minteh,Tottenham,Y,0.25,0.62,Left Foot,9,48,0-2,Guglielmo Vicario,,Pervis Estupiñán,Pass (Live),Lewis Dunk,Pass (Live),,Brighton
12,2024-10-06,Matchweek 7,Home,Georginio Rutter,Tottenham,Y,0.17,0.49,Left Foot,15,58,1-2,Guglielmo Vicario,Kaoru Mitoma,Kaoru Mitoma,Pass (Live),Pervis Estupiñán,Pass (Live),,Brighton
13,2024-10-06,Matchweek 7,Home,Danny Welbeck,Tottenham,Y,0.56,0.98,Head,5,66,2-2,Guglielmo Vicario,,Georginio Rutter,Take-On,Joël Veltman,Pass (Dead),,Brighton
14,2024-10-19,Matchweek 8,Away,Danny Welbeck,Newcastle Utd,Y,0.36,0.62,Right Foot,12,35,0-0,Nick Pope,Georginio Rutter,Georginio Rutter,Pass (Live),Danny Welbeck,Pass (Live),,Brighton
15,2024-10-26,Matchweek 9,Home,Danny Welbeck,Wolves,Y*,0.45,0.62,Right Foot,10,45,0-0,José Sá,Georginio Rutter,Georginio Rutter,Pass (Live),Ferdi Kadioglu,Pass (Live),,Brighton
16,2024-10-26,Matchweek 9,Home,Evan Ferguson,Wolves,N,0.08,0.44,Right Foot,16,85,1-0,José Sá,Tariq Lamptey,Tariq Lamptey,Pass (Live),,,,Brighton
1,2024-08-25,Matchweek 2,Away,Nicolas Jackson,Wolves,Y,0.17,0.91,Head,5,2,0-0,José Sá,,Noni Madueke,Shot,,,,Chelsea
2,2024-08-25,Matchweek 2,Away,Cole Palmer,Wolves,Y,0.04,0.04,Left Foot,28,45,1-1,José Sá,Nicolas Jackson,Nicolas Jackson,Pass (Live),Robert Sánchez,Pass (Dead),,Chelsea
3,2024-08-25,Matchweek 2,Away,Noni Madueke,Wolves,Y,0.07,0.62,Left Foot,12,49,2-2,José Sá,Cole Palmer,Cole Palmer,Pass (Live),Nicolas Jackson,Pass (Live),Deflected,Chelsea
4,2024-08-25,Matchweek 2,Away,Noni Madueke,Wolves,Y,0.07,0.18,Right Foot,9,58,3-2,José Sá,Cole Palmer,Cole Palmer,Pass (Live),Moisés Caicedo,Pass (Live),,Chelsea
5,2024-08-25,Matchweek 2,Away,Noni Madueke,Wolves,Y,0.23,0.20,Right Foot,10,63,4-2,José Sá,Cole Palmer,Cole Palmer,Pass (Live),Cole Palmer,Take-On,,Chelsea
6,2024-08-25,Matchweek 2,Away,João Félix,Wolves,N,0.15,0.76,Right Foot,17,80,5-2,José Sá,Pedro Neto,Pedro Neto,Pass (Live),Cole Palmer,Pass (Live),,Chelsea
7,2024-09-01,Matchweek 3,Home,Nicolas Jackson,Crystal Palace,Y,0.97,1.00,Right Foot,2,25,0-0,Dean Henderson,Cole Palmer,Cole Palmer,Pass (Live),Noni Madueke,Pass (Live),,Chelsea
8,2024-09-14,Matchweek 4,Away,Christopher Nkunku,Bournemouth,N,0.30,0.96,Right Foot,10,86,0-0,Mark Travers,Jadon Sancho,Christopher Nkunku,Take-On,Jadon Sancho,Pass (Live),,Chelsea
9,2024-09-21,Matchweek 5,Away,Nicolas Jackson,West Ham,Y,0.22,0.32,Right Foot,9,4,0-0,Alphonse Areola,Jadon Sancho,Jadon Sancho,Pass (Live),Nicolas Jackson,Pass (Live),,Chelsea
10,2024-09-21,Matchweek 5,Away,Nicolas Jackson,West Ham,Y,0.44,0.81,Right Foot,17,18,1-0,Alphonse Areola,Moisés Caicedo,Moisés Caicedo,Pass (Live),Enzo Fernández,Pass (Live),,Chelsea
11,2024-09-21,Matchweek 5,Away,Cole Palmer,West Ham,Y,0.27,0.56,Left Foot,15,47,2-0,Alphonse Areola,Nicolas Jackson,Nicolas Jackson,Pass (Live),Moisés Caicedo,Pass (Live),,Chelsea
12,2024-09-28,Matchweek 6,Home,Cole Palmer,Brighton,Y,0.22,0.95,Left Foot,17,21,0-1,Bart Verbruggen,Nicolas Jackson,Nicolas Jackson,Pass (Live),,,,Chelsea
13,2024-09-28,Matchweek 6,Home,Cole Palmer,Brighton,Y,0.79,0.78,Left Foot,13,28,1-1,Bart Verbruggen,,Jadon Sancho,Fouled,Jadon Sancho,Pass (Live),,Chelsea
14,2024-09-28,Matchweek 6,Home,Cole Palmer,Brighton,Y,0.05,0.12,Left Foot,30,31,2-1,Bart Verbruggen,,Noni Madueke,Fouled,,,,Chelsea
15,2024-09-28,Matchweek 6,Home,Cole Palmer,Brighton,Y,0.18,0.75,Left Foot,12,41,3-2,Bart Verbruggen,Jadon Sancho,Jadon Sancho,Pass (Live),Enzo Fernández,Pass (Live),,Chelsea
16,2024-10-06,Matchweek 7,Home,Noni Madueke,Nott'ham Forest,Y,0.03,0.35,Left Foot,16,57,0-1,Matz Sels,Cole Palmer,Cole Palmer,Pass (Live),Jadon Sancho,Pass (Live),Deflected,Chelsea
17,2024-10-20,Matchweek 8,Away,Nicolas Jackson,Liverpool,Y,0.29,0.81,Right Foot,13,48,0-1,Caoimhín Kelleher,Moisés Caicedo,Moisés Caicedo,Pass (Live),Malo Gusto,Pass (Live),,Chelsea
18,2024-10-27,Matchweek 9,Home,Nicolas Jackson,Newcastle Utd,Y,0.56,0.74,Right Foot,11,18,0-0,Nick Pope,Pedro Neto,Pedro Neto,Pass (Live),Pedro Neto,Take-On,,Chelsea
19,2024-10-27,Matchweek 9,Home,Cole Palmer,Newcastle Utd,Y,0.05,0.07,Left Foot,18,47,1-1,Nick Pope,Roméo Lavia,Roméo Lavia,Pass (Live),Levi Colwill,Tackle,,Chelsea
1,2024-08-18,Matchweek 1,Away,Ethan Pinnock(OG),Brentford,Y,,,,,56,0-1,Mark Flekken,,,,,,Own Goal,Crystal Palace
2,2024-09-01,Matchweek 3,Away,Eberechi Eze,Chelsea,Y,0.06,0.78,Right Foot,22,53,0-1,Robert Sánchez,,Cheick Doucouré,Shot,,,,Crystal Palace
3,2024-09-14,Matchweek 4,Home,Jean-Philippe Mateta,Leicester City,Y,0.50,0.97,Right Foot,5,47,0-2,Mads Hermansen,Tyrick Mitchell,Tyrick Mitchell,Pass (Live),Eberechi Eze,Pass (Live),,Crystal Palace
4,2024-09-14,Matchweek 4,Home,Jean-Philippe Mateta,Leicester City,Y,0.79,0.82,Right Foot,13,90+2,1-2,Mads Hermansen,,Ismaila Sarr,Fouled,,,,Crystal Palace
5,2024-09-28,Matchweek 6,Away,Marc Guéhi,Everton,Y*,0.18,0.67,Right Foot,4,10,0-0,Jordan Pickford,Maxence Lacroix,Maxence Lacroix,Pass (Live),Adam Wharton,Pass (Live),,Crystal Palace
6,2024-10-27,Matchweek 9,Home,Jean-Philippe Mateta,Tottenham,Y,0.12,0.33,Left Foot,8,31,0-0,Guglielmo Vicario,Eberechi Eze,Eberechi Eze,Pass (Live),Daniel Muñoz,Pass (Live),Deflected,Crystal Palace
1,2024-08-31,Matchweek 3,Home,Michael Keane,Bournemouth,Y,0.21,0.55,Right Foot,12,50,0-0,Kepa Arrizabalaga,Dominic Calvert-Lewin,Dominic Calvert-Lewin,Pass (Live),Jack Harrison,Pass (Live),,Everton
2,2024-08-31,Matchweek 3,Home,Dominic Calvert-Lewin,Bournemouth,Y,0.33,0.31,Right Foot,11,57,1-0,Kepa Arrizabalaga,Dwight McNeil,Dwight McNeil,Pass (Live),Iliman Ndiaye,Pass (Live),,Everton
3,2024-09-14,Matchweek 4,Away,Dwight McNeil,Aston Villa,Y,0.02,0.29,Left Foot,21,16,0-0,Emiliano Martínez,,Dwight McNeil,Tackle,,,,Everton
4,2024-09-14,Matchweek 4,Away,Dominic Calvert-Lewin,Aston Villa,Y,0.41,0.85,Head,6,27,1-0,Emiliano Martínez,Dwight McNeil,Dwight McNeil,Pass (Dead),Jack Harrison,Fouled,,Everton
5,2024-09-21,Matchweek 5,Away,Iliman Ndiaye,Leicester City,Y,0.09,0.80,Right Foot,17,12,0-0,Mads Hermansen,Ashley Young,Ashley Young,Pass (Live),Iliman Ndiaye,Pass (Live),,Everton
6,2024-09-28,Matchweek 6,Home,Dwight McNeil,Crystal Palace,Y,0.02,0.43,Left Foot,27,47,0-1,Dean Henderson,Ashley Young,Ashley Young,Pass (Live),Ashley Young,Interception,,Everton
